,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8084,7.706262875199903,2.833213344056216,11.7236400962654,Wave,9.975342989636557,Việt Nam,1,Hải Phòng,96.07
8085,8.779557455883728,1.9459101490553132,9.210340371976184,Lead,10.677984278792396,Việt Nam,1,TP. Hồ Chí Minh,98.44
8086,9.20029003612268,2.995732273553991,10.996081768878675,Future,10.371614421769003,Thái Lan,2,Hà Nội,100.0
8088,8.85366542803745,2.302585092994046,10.308952660644293,Sirius,9.934743942186682,Việt Nam,1,Bình Dương,94.25
8090,10.46310334047155,0.6931471805599453,8.987196820661973,Exciter,10.834863921828324,Việt Nam,1,Hà Nội,100.0
8091,8.411832675758411,2.5649493574615367,11.7236400962654,Attila,10.183011437286446,Đang cập nhật,2,Bắc Giang,91.4
8092,9.210340371976184,2.5649493574615367,9.647562511697538,Air Blade,10.826555268689306,Việt Nam,1,Đắk Lắk,90.04
8094,8.160518247477505,3.2188758248682006,6.907755278982137,Wave,9.975342989636557,Trung Quốc,2,Cần Thơ,91.26
8098,7.9724660159745655,2.8903717578961645,7.1180162044653335,Nouvo,10.46310334047155,Đang cập nhật,3,TP. Hồ Chí Minh,98.44
8099,8.974618038455112,2.70805020110221,13.458835614025542,Lead,10.677984278792396,Việt Nam,1,Hà Nội,100.0
8100,9.305650551780507,2.6390573296152584,11.075458723336263,Air Blade,10.826555268689306,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8101,8.699514748210191,2.833213344056216,10.819778284410283,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8103,9.546812608597396,1.791759469228055,10.165851817003619,Winner,10.736396675471232,Việt Nam,1,Hưng Yên,90.08
8104,10.571316925111784,1.0986122886681098,9.210340371976184,Vario,10.77874793485229,Nước khác,1,Bạc Liêu,92.51
8106,8.006367567650246,2.5649493574615367,11.512925464970229,Nouvo,10.46310334047155,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8108,9.104979856318357,2.8903717578961645,11.436886398684639,Future,10.371614421769003,Việt Nam,1,Hà Nội,100.0
8109,10.06475570013225,2.8903717578961645,11.156250521031495,Future,10.371614421769003,Việt Nam,1,Hà Nội,100.0
8110,10.419300717813158,2.9444389791664403,13.41004444985561,Exciter,10.834863921828324,Thái Lan,2,TP. Hồ Chí Minh,98.44
8111,9.740968623038354,2.4849066497880004,9.21024036697585,Exciter,10.834863921828324,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8112,10.4341158035983,0.6931471805599453,9.104979856318357,Vario,10.77874793485229,Nước khác,1,TP. Hồ Chí Minh,98.44
8115,8.160518247477505,2.995732273553991,12.206072645530174,Mio,10.165851817003619,Thái Lan,2,TP. Hồ Chí Minh,98.44
8116,9.375854810453756,2.8903717578961645,10.714417768752456,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8118,10.439980923050696,1.3862943611198906,10.165851817003619,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8119,10.085809109330082,2.1972245773362196,10.21464198117305,Air Blade,10.826555268689306,Nhật Bản,3,Hà Nội,100.0
8120,9.792555991828847,2.9444389791664403,11.05089000537367,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8121,10.778956289890028,0.0,6.214608098422191,Vario,10.77874793485229,Thái Lan,2,TP. Hồ Chí Minh,98.44
8122,9.392661928770137,2.995732273553991,10.308952660644293,Future,10.371614421769003,Thái Lan,2,Bình Dương,94.25
8123,10.184900011974314,1.3862943611198906,10.126631103850338,Vision,10.451319901931214,Nhật Bản,3,An Giang,91.92
8125,9.305650551780507,2.1972245773362196,10.819778284410283,Wave,9.975342989636557,Nhật Bản,3,Bình Dương,94.25
8126,9.305650551780507,2.3978952727983707,10.071667925775051,Raider,10.79117302739995,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8127,9.457200449907708,2.4849066497880004,11.350406535472453,Air Blade,10.826555268689306,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8129,11.320553572322773,1.0986122886681098,8.764053269347762,SH,11.6952282715884,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
8130,10.725467604939041,1.791759469228055,10.645424897265505,SH Mode,11.02825479868109,Việt Nam,1,Hà Nội,100.0
8132,12.013700752882718,2.6390573296152584,11.002099841204238,SH,11.6952282715884,Nước khác,3,Cần Thơ,91.26
8133,9.392661928770137,2.5649493574615367,13.579788224443204,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
